Log File       : 20201216_112957_EFF1 AB.txt
Run folder     : D:\Data\RoutinEDA\NTS workflow\20201216_Fractionering dag 3\FractioMate
FractioMate    : FractioMate 2-Plate with temperature control
Serial         : 110001
Run name       : EFF1 AB
Frequency      : 15Hz
Temperature    : NOT controlled
Wait on input  : Input 2
Start Delay    : 00:00:00
Run Start Time : 12/16/2020 11:31:17 AM  (All times below are relative to this time)
----------------
Spotting on     : 96 LOW profile at Back Plate position on Left Tray
Plate height    : 15 mm (including tray carrier) 
Spotter needle  : @ 19 mm above tray carrier 
Repeat cycle    : 1 of 1
Interval time   : 13.5 seconds 
Temperature     : 25.4 °C
Spotlog format  : Well_Row, Well_Column, start_time, ready_time. 
1,  3,  00:00.7,  00:14.2
1,  4,  00:14.7,  00:28.2
1,  5,  00:28.6,  00:42.1
1,  6,  00:42.5,  00:56.1
1,  7,  00:56.7,  01:10.2
1,  8,  01:10.6,  01:24.1
1,  9,  01:24.6,  01:38.1
1,  10,  01:38.5,  01:52.0
1,  11,  01:52.4,  02:05.9
1,  12,  02:06.3,  02:19.8
2,  12,  02:20.3,  02:33.8
2,  11,  02:34.2,  02:47.7
2,  10,  02:48.1,  03:01.6
2,  9,  03:02.0,  03:15.5
2,  8,  03:15.9,  03:29.4
2,  7,  03:30.0,  03:43.5
2,  6,  03:43.9,  03:57.4
2,  5,  03:57.8,  04:11.3
2,  4,  04:11.7,  04:25.2
2,  3,  04:25.6,  04:39.1
3,  3,  04:39.6,  04:53.1
3,  4,  04:53.5,  05:07.0
3,  5,  05:07.4,  05:20.9
3,  6,  05:21.3,  05:34.8
3,  7,  05:35.2,  05:48.7
3,  8,  05:49.4,  06:02.9
3,  9,  06:03.3,  06:16.8
3,  10,  06:17.2,  06:30.7
3,  11,  06:31.1,  06:44.6
3,  12,  06:45.0,  06:58.5
4,  12,  06:58.9,  07:12.4
4,  11,  07:12.8,  07:26.3
4,  10,  07:26.7,  07:40.2
4,  9,  07:40.7,  07:54.2
4,  8,  07:54.8,  08:08.3
4,  7,  08:08.7,  08:22.2
4,  6,  08:22.6,  08:36.1
4,  5,  08:36.5,  08:50.0
4,  4,  08:50.5,  09:04.0
4,  3,  09:04.4,  09:17.9
5,  3,  09:18.4,  09:31.9
5,  4,  09:32.4,  09:45.9
5,  5,  09:46.3,  09:59.8
5,  6,  10:00.4,  10:13.9
5,  7,  10:14.3,  10:27.8
5,  8,  10:28.2,  10:41.7
5,  9,  10:42.1,  10:55.6
5,  10,  10:56.0,  11:09.5
5,  11,  11:09.9,  11:23.4
5,  12,  11:24.0,  11:37.5
6,  12,  11:38.0,  11:51.5
6,  11,  11:52.0,  12:05.5
6,  10,  12:05.9,  12:19.4
6,  9,  12:19.8,  12:33.3
6,  8,  12:33.9,  12:47.4
6,  7,  12:47.8,  13:01.3
6,  6,  13:01.7,  13:15.2
6,  5,  13:15.6,  13:29.1
6,  4,  13:29.6,  13:43.1
6,  3,  13:43.7,  13:57.2
7,  3,  13:57.6,  14:11.1
7,  4,  14:11.4,  14:24.9
7,  5,  14:25.3,  14:38.8
7,  6,  14:39.2,  14:52.7
7,  7,  14:53.3,  15:06.8
7,  8,  15:07.3,  15:20.8
7,  9,  15:21.2,  15:34.7
7,  10,  15:35.1,  15:48.6
7,  11,  15:49.1,  16:02.6
7,  12,  16:03.0,  16:16.5
8,  12,  16:17.0,  16:30.5
8,  11,  16:30.9,  16:44.4
8,  10,  16:44.8,  16:58.3
8,  9,  16:58.8,  17:12.3
8,  8,  17:12.6,  17:26.1
8,  7,  17:26.7,  17:40.2
8,  6,  17:40.6,  17:54.1
8,  5,  17:54.6,  18:08.1
8,  4,  18:08.5,  18:22.0
8,  3,  18:22.4,  18:35.9
----------------
*Run finished*  @18:38.5

