Log File       : 20201216_131601_Blank.txt
Run folder     : D:\Data\RoutinEDA\NTS workflow\20201216_Fractionering dag 3\FractioMate
FractioMate    : FractioMate 2-Plate with temperature control
Serial         : 110001
Run name       : Blank
Frequency      : 15Hz
Temperature    : NOT controlled
Wait on input  : Input 2
Start Delay    : 00:00:00
Run Start Time : 12/16/2020 1:17:13 PM  (All times below are relative to this time)
----------------
Spotting on     : 96 LOW profile at Back Plate position on Left Tray
Plate height    : 15 mm (including tray carrier) 
Spotter needle  : @ 19 mm above tray carrier 
Repeat cycle    : 1 of 1
Interval time   : 13.5 seconds 
Temperature     : 27.0 °C
Spotlog format  : Well_Row, Well_Column, start_time, ready_time. 
1,  3,  00:00.9,  00:14.4
1,  4,  00:14.8,  00:28.3
1,  5,  00:28.7,  00:42.2
1,  6,  00:42.7,  00:56.2
1,  7,  00:56.8,  01:10.3
1,  8,  01:10.8,  01:24.3
1,  9,  01:24.7,  01:38.2
1,  10,  01:38.6,  01:52.1
1,  11,  01:52.5,  02:06.0
1,  12,  02:06.5,  02:20.0
2,  12,  02:20.4,  02:33.9
2,  11,  02:34.4,  02:47.9
2,  10,  02:48.3,  03:01.8
2,  9,  03:02.2,  03:15.7
2,  8,  03:16.1,  03:29.6
2,  7,  03:30.3,  03:43.8
2,  6,  03:44.2,  03:57.7
2,  5,  03:58.2,  04:11.7
2,  4,  04:12.1,  04:25.6
2,  3,  04:26.0,  04:39.5
3,  3,  04:40.0,  04:53.5
3,  4,  04:54.0,  05:07.5
3,  5,  05:07.9,  05:21.4
3,  6,  05:21.8,  05:35.3
3,  7,  05:35.8,  05:49.3
3,  8,  05:49.9,  06:03.4
3,  9,  06:03.8,  06:17.3
3,  10,  06:17.7,  06:31.2
3,  11,  06:31.6,  06:45.1
3,  12,  06:45.6,  06:59.1
4,  12,  06:59.5,  07:13.0
4,  11,  07:13.5,  07:27.0
4,  10,  07:27.4,  07:40.9
4,  9,  07:41.4,  07:54.9
4,  8,  07:55.5,  08:09.0
4,  7,  08:09.5,  08:23.0
4,  6,  08:23.4,  08:36.9
4,  5,  08:37.4,  08:50.9
4,  4,  08:51.3,  09:04.8
4,  3,  09:05.3,  09:18.8
5,  3,  09:19.2,  09:32.7
5,  4,  09:33.1,  09:46.6
5,  5,  09:47.0,  10:00.5
5,  6,  10:01.1,  10:14.6
5,  7,  10:15.1,  10:28.6
5,  8,  10:29.0,  10:42.5
5,  9,  10:42.9,  10:56.4
5,  10,  10:56.8,  11:10.3
5,  11,  11:10.8,  11:24.3
5,  12,  11:24.9,  11:38.4
6,  12,  11:38.8,  11:52.4
6,  11,  11:52.8,  12:06.3
6,  10,  12:06.7,  12:20.2
6,  9,  12:20.6,  12:34.1
6,  8,  12:34.8,  12:48.3
6,  7,  12:48.7,  13:02.2
6,  6,  13:02.7,  13:16.2
6,  5,  13:16.6,  13:30.1
6,  4,  13:30.5,  13:44.0
6,  3,  13:44.7,  13:58.2
7,  3,  13:58.6,  14:12.1
7,  4,  14:12.5,  14:26.1
7,  5,  14:26.5,  14:40.0
7,  6,  14:40.4,  14:53.9
7,  7,  14:54.6,  15:08.1
7,  8,  15:08.5,  15:22.0
7,  9,  15:22.5,  15:36.0
7,  10,  15:36.4,  15:49.9
7,  11,  15:50.4,  16:03.9
7,  12,  16:04.3,  16:17.8
8,  12,  16:18.2,  16:31.7
8,  11,  16:32.1,  16:45.7
8,  10,  16:46.1,  16:59.6
8,  9,  17:00.0,  17:13.5
8,  8,  17:13.9,  17:27.4
8,  7,  17:28.0,  17:41.5
8,  6,  17:41.9,  17:55.4
8,  5,  17:55.8,  18:09.3
8,  4,  18:09.8,  18:23.3
8,  3,  18:23.7,  18:37.2
----------------
*Run finished*  @18:40.0

